,Model,Parameters,mean_train_score,std_train_score,mean_test_score,std_test_score
0,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.1, hbgb__max_leaf_nodes: 50, hbgb__l2_regularization: 100",0.8241833300052243,0.0011235261502228987,0.7661151378222826,0.002293972814025644
1,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.1, hbgb__max_leaf_nodes: 31, hbgb__l2_regularization: 100",0.8069768165863662,0.0010380667687527143,0.7660202416317267,0.0025707825783433725
2,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.1, hbgb__max_leaf_nodes: 31, hbgb__l2_regularization: 10",0.8176426919483878,0.0019080108076231898,0.7657698350446961,0.0011004400938103187
3,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.1, hbgb__max_leaf_nodes: 31, hbgb__l2_regularization: 5",0.8227766171874732,0.0009935601228827507,0.765438260925006,0.0008990174510562141
4,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.1, hbgb__max_leaf_nodes: 50, hbgb__l2_regularization: 10",0.8367543246169945,0.0024237372036809124,0.7650205481918015,0.0011274046361081894
5,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.1, hbgb__max_leaf_nodes: 100, hbgb__l2_regularization: 100",0.853934031980705,0.0009064834066533657,0.7648680926669754,0.0019333249550462501
6,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.1, hbgb__max_leaf_nodes: 50, hbgb__l2_regularization: 5",0.8454521143139274,0.003618430098448822,0.7647738331254477,0.0010230537117845505
7,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.1, hbgb__max_leaf_nodes: 31, hbgb__l2_regularization: 1",0.8266473879634643,0.005971192521189117,0.7640409279826293,0.0017268150964149568
8,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.1, hbgb__max_leaf_nodes: 10, hbgb__l2_regularization: 10",0.7818724345340277,0.0011686052824242637,0.7636047284228079,0.00112638938891175
9,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.1, hbgb__max_leaf_nodes: 100, hbgb__l2_regularization: 10",0.8828208930693812,0.00609833182208296,0.7634816318113641,0.0013359249157092953
10,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.1, hbgb__max_leaf_nodes: 10, hbgb__l2_regularization: 5",0.7824315125747242,0.0007662404045180012,0.7633159527731163,0.0011073447627973083
11,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.1, hbgb__max_leaf_nodes: 10, hbgb__l2_regularization: 100",0.7783572108446988,0.001075511380416132,0.7630888444094567,0.0017329264277042122
12,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.1, hbgb__max_leaf_nodes: 50, hbgb__l2_regularization: 1",0.8525092607698221,0.006269430418134134,0.7630635256081865,0.0009595201272640845
13,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.1, hbgb__max_leaf_nodes: 10, hbgb__l2_regularization: 1",0.78378982154089,0.0008409410451867875,0.7629836741647473,0.0002159965689562508
14,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.1, hbgb__max_leaf_nodes: 100, hbgb__l2_regularization: 5",0.8927753465403815,0.002036795781533041,0.7627504946742075,0.0022775524351369486
15,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.5, hbgb__max_leaf_nodes: 5, hbgb__l2_regularization: 100",0.7823953736101137,0.0025091430459430494,0.7624449835045697,0.001914996053814362
16,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.1, hbgb__max_leaf_nodes: 10, hbgb__l2_regularization: 0",0.7855723417569389,0.0008956884698607491,0.762336087297515,0.0009756070084348948
17,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.1, hbgb__max_leaf_nodes: 31, hbgb__l2_regularization: 0",0.8337547506333008,0.00530519746422476,0.7618554558976478,0.0017283835707578828
18,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.5, hbgb__max_leaf_nodes: 10, hbgb__l2_regularization: 100",0.7980445560972375,0.0009914662371451922,0.7612691772881433,0.0015392929219926609
19,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.5, hbgb__max_leaf_nodes: 5, hbgb__l2_regularization: 10",0.7799941463879131,0.0036709045175708534,0.7606441862429771,0.000474852951149972
20,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.1, hbgb__max_leaf_nodes: 50, hbgb__l2_regularization: 0",0.858576245778537,0.013650225667514925,0.760279980207688,0.001770147452346914
21,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.1, hbgb__max_leaf_nodes: 100, hbgb__l2_regularization: 1",0.8871434545224192,0.011967068267804297,0.7602132322536734,0.000993437621076816
22,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.5, hbgb__max_leaf_nodes: 5, hbgb__l2_regularization: 5",0.7765635490097348,0.0013294451988042355,0.7592824847724406,0.001974378936559541
23,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.1, hbgb__max_leaf_nodes: 5, hbgb__l2_regularization: 5",0.7679952735551874,0.0010773721076113108,0.7591098370365517,0.0009435073311812963
24,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.1, hbgb__max_leaf_nodes: 5, hbgb__l2_regularization: 10",0.7677057191845839,0.0009510231075699284,0.7590604278535295,0.0008596126509601057
