,Pipeline,Utilized Features,train_auc_roc,val_auc_roc,test_auc_roc
4,Histogram Based Gradient Boosting,Base,0.8125666376710955,0.7673761321512359,0.7723543028230762
5,Histogram Based Gradient Boosting,Base + Engineered,0.814532089070369,0.7669103801783833,0.771713865180356
2,Random Forest,Base,0.8252835722441263,0.73785549810424,0.7445783685772105
3,Random Forest,Base + Engineered,0.8300736840468763,0.7384974503149284,0.7438840784283718
9,Voting,Base + Engineered,0.6345667269939977,0.6280779685078326,0.6313969265989664
7,Bagging,Base + Engineered,0.6344336033343075,0.6282059537256038,0.6313027016345661
6,Bagging,Base,0.6297390525506891,0.6259674676082122,0.6291925148543251
8,Voting,Base,0.6295584066939486,0.6260410592475875,0.6289907024362443
1,Baseline Logistic Regression,Base + Engineered,0.6170387891369101,0.6101662054456365,0.6093972391622321
0,Baseline Logistic Regression,Base,0.6112134220015238,0.6065506355677005,0.605973923303444
